[Tue Jul  9 21:35:11 2024]: Z-score + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5399969117163894
[Tue Jul  9 21:41:20 2024]: Z-score + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.33882518743215584
[Tue Jul  9 21:42:01 2024]: Min-Max + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5742168396146545
[Tue Jul  9 21:43:30 2024]: Min-Max + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.599310472018772
[Tue Jul  9 21:44:13 2024]: Min-Max + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.4032942186608254
[Tue Jul  9 21:44:43 2024]: Z-score + KNN(param: {'C': 9, 'kernel': 'rbf'}), R2: 0.11271345253615594
[Tue Jul  9 21:45:07 2024]: Z-score + Ridge(param: {'C': 9, 'kernel': 'rbf'}), R2: 0.30506579998382166
[Tue Jul  9 21:51:21 2024]: Z-score + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5399969117163894
[Tue Jul  9 21:58:42 2024]: Min-Max + SVR(param: {'C': 7, 'kernel': 'linear'}), R2: 0.5978272929258261
[Tue Jul  9 21:59:44 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5816555986084606
[Tue Jul  9 22:00:19 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5836510049724111
[Tue Jul  9 22:00:49 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5723426324191667
[Tue Jul  9 22:01:29 2024]: Min-Max + SVR(param: {'C': 7, 'kernel': 'linear'}), R2: 0.5967968868447273
[Tue Jul  9 22:03:04 2024]: Min-Max + SVR(param: {'C': 8, 'kernel': 'linear'}), R2: 0.5987807998633501
[Tue Jul  9 22:03:37 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5958515117111707
[Tue Jul  9 22:04:05 2024]: Min-Max + SVR(param: {'C': 10, 'kernel': 'linear'}), R2: 0.5906408846419984
[Tue Jul  9 22:04:42 2024]: Min-Max + SVR(param: {'C': 19, 'kernel': 'linear'}), R2: 0.5888009998993284
[Tue Jul  9 22:05:35 2024]: Min-Max + SVR(param: {'C': 19, 'kernel': 'linear'}), R2: 0.5883959091533916
[Tue Jul  9 22:08:37 2024]: Min-Max + SVR(param: {'C': 19, 'kernel': 'linear'}), R2: 0.5888009998993284
[Tue Jul  9 22:12:08 2024]: Min-Max + SVR(param: {'C': 19, 'kernel': 'linear'}), R2: 0.42448918738936536
[Tue Jul  9 22:17:56 2024]: Min-Max + SVR(param: {'C': 19, 'kernel': 'linear'}), R2: 0.42448918738936536
[Tue Jul  9 22:18:59 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5916396691905957
[Tue Jul  9 22:19:34 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5916396691905957
[Tue Jul  9 22:20:15 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5925213279349522
[Tue Jul  9 22:21:41 2024]: Min-Max + SVR(param: {'C': 66, 'kernel': 'linear'}), R2: 0.5955061820594436
[Tue Jul  9 22:23:36 2024]: Min-Max + SVR(param: {'C': 51, 'kernel': 'linear'}), R2: 0.5959020299386317
[Tue Jul  9 22:24:04 2024]: Z-score + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.542376795049148
[Tue Jul  9 22:24:29 2024]: Z-score + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.547777843476511
[Tue Jul  9 22:24:59 2024]: Min-Max + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5699203471090604
[Tue Jul  9 22:27:59 2024]: Min-Max + Ridge(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5628207162935138
[Tue Jul  9 22:28:34 2024]: Z-score + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5360269396557891
[Tue Jul  9 22:28:58 2024]: Z-score + SVR(param: {'C': 8, 'kernel': 'linear'}), R2: 0.5486693863533476
[Tue Jul  9 22:29:44 2024]: Z-score + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5487871083815665
[Tue Jul  9 22:30:17 2024]: Z-score + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5549882966501408
